[17:32:45] [INFO] received Windows console close event; shutting log-core down
[17:40:50] [INFO] received Windows console close event; shutting log-core down
[17:41:47] [INFO] received Windows console close event; shutting log-core down
[17:46:43] [INFO] received Windows console close event; shutting log-core down
[17:48:06] [INFO] received Windows console close event; shutting log-core down
[17:51:26] [INFO] received Windows console close event; shutting log-core down
[21:24:21] [INFO] received Windows console close event; shutting log-core down
[21:24:48] [INFO] received Windows console close event; shutting log-core down
[02:01:58] [INFO] received Windows console close event; shutting log-core down
[02:03:57] [INFO] received Windows console close event; shutting log-core down
[02:11:19] [INFO] received Windows console close event; shutting log-core down
[02:17:59] [INFO] received Windows console close event; shutting log-core down
[02:29:33] [INFO] received Windows console close event; shutting log-core down
[02:37:20] [INFO] received Windows console close event; shutting log-core down
[02:48:54] [INFO] received Windows console close event; shutting log-core down
[02:52:38] [INFO] received Windows console close event; shutting log-core down
[03:06:24] [INFO] received Windows console close event; shutting log-core down
[03:35:06] [INFO] received Windows console close event; shutting log-core down
[03:40:54] [INFO] received Windows console close event; shutting log-core down
[03:42:50] [INFO] received Windows console close event; shutting log-core down
[03:45:27] [INFO] received Windows console close event; shutting log-core down
[03:52:58] [INFO] received Windows console close event; shutting log-core down
[03:53:56] [INFO] received Windows console close event; shutting log-core down
[03:55:18] [INFO] received Windows console close event; shutting log-core down
[03:57:44] [INFO] received Windows console close event; shutting log-core down
[04:31:53] [INFO] received Windows console close event; shutting log-core down
[04:33:04] [INFO] received Windows console close event; shutting log-core down
[04:33:46] [INFO] received Windows console close event; shutting log-core down
[04:36:09] [INFO] received Windows console close event; shutting log-core down
[04:40:03] [INFO] received Windows console close event; shutting log-core down
[04:42:04] [INFO] received Windows console close event; shutting log-core down
[04:52:26] [INFO] received Windows console close event; shutting log-core down
[04:56:39] [INFO] received Windows console close event; shutting log-core down
[04:59:11] [INFO] received Windows console close event; shutting log-core down
[05:00:32] [INFO] received Windows console close event; shutting log-core down
[05:05:03] [INFO] received Windows console close event; shutting log-core down
[05:06:28] [INFO] received Windows console close event; shutting log-core down
[05:07:53] [INFO] received Windows console close event; shutting log-core down
[05:10:52] [INFO] received Windows console close event; shutting log-core down
[05:11:48] [INFO] received Windows console close event; shutting log-core down
[05:17:31] [INFO] received Windows console close event; shutting log-core down
[05:18:51] [INFO] received Windows console close event; shutting log-core down
[05:19:34] [INFO] received Windows console close event; shutting log-core down
[05:21:57] [INFO] received Windows console close event; shutting log-core down
[05:22:36] [INFO] received Windows console close event; shutting log-core down
[05:23:09] [INFO] received Windows console close event; shutting log-core down
[06:09:10] [INFO] received Windows console close event; shutting log-core down
[16:36:51] [INFO] received Windows console close event; shutting log-core down
[03:32:07] [INFO] received Windows console close event; shutting log-core down
[03:35:06] [INFO] received Windows console close event; shutting log-core down
[03:37:42] [INFO] received Windows console close event; shutting log-core down
[03:38:20] [INFO] received Windows console close event; shutting log-core down
[05:08:54] [INFO] received Windows console close event; shutting log-core down
[06:41:18] [INFO] received Windows console close event; shutting log-core down
